#x=tau [fm/c]	y=eta	z=az Spin Potential
1.0001	-2.8999999999999995	-0.11309990633132705
1.0001	-2.6999999999999993	-0.12688158130919866
1.0001	-2.499999999999999	-0.14237078604750572
1.0001	-2.299999999999999	-0.1596786962690771
1.0001	-2.0999999999999996	-0.17869913005979332
1.0001	-1.8999999999999986	-0.1990484772298375
1.0001	-1.6999999999999993	-0.21994727133023068
1.0001	-1.5	-0.23977653339711144
1.0001	-1.299999999999999	-0.25597987720334314
1.0001	-1.0999999999999996	-0.2646425323511124
1.0001	-0.8999999999999986	-0.2608793918175191
1.0001	-0.6999999999999993	-0.23879296947595685
1.0001	-0.4999999999999982	-0.19471008095829326
1.0001	-0.29999999999999893	-0.1282403258772939
1.0001	-0.09999999999999964	-0.04450029525810851
1.0001	0.10000000000000142	0.045245013076159656
1.0001	0.3000000000000007	0.1285689496546848
1.0001	0.5000000000000018	0.19452111138306322
1.0001	0.7000000000000011	0.23862580250119939
1.0001	0.9000000000000004	0.26033942922332926
1.0001	1.1000000000000014	0.26441741199618346
1.0001	1.3000000000000007	0.25584742040892355
1.0001	1.5000000000000018	0.23978171459043743
1.0001	1.700000000000001	0.2199612659382022
1.0001	1.9000000000000004	0.19912277776142664
1.0001	2.1000000000000014	0.17874256057559307
1.0001	2.3000000000000007	0.15971162272202594
1.0001	2.5000000000000018	0.14240216883018558
1.0001	2.700000000000001	0.12688253568084074
1.0001	2.9000000000000004	0.11311281724723268
1.0001	3.1000000000000014	0.10093314983816717
1.0001	3.3000000000000007	0.09018473414352524
1.0001	3.5000000000000018	0.0806956323421818
1.0001	3.700000000000001	0.07230803838777321
1.0001	3.9000000000000004	0.06487940925515165
1.0001	4.100000000000001	0.05828593668765816
1.0001	4.300000000000001	0.052420058189527954
1.0001	4.500000000000002	0.04718983349133019
1.0001	4.700000000000001	0.04251708487427997
1.0001	4.9	0.0383339210747469
1.0001	5.100000000000001	0.03458341366895466
1.0001	5.300000000000001	0.03121557711492127
1.0001	5.500000000000002	0.028187701003324295
1.0001	5.700000000000001	0.02546263402996878
1.0001	5.9	0.023007674223822928
1.0001	6.1	0.020794580346223626
1.0001	6.3000000000000025	0.018798104500527383
1.0001	6.500000000000002	0.016996157888252088
1.0001	6.700000000000001	0.015369077565742262
1.0001	6.9	0.0138992931185621
1.0001	7.1	0.012571275759224163
1.0001	7.3000000000000025	0.011370985844383038
1.0001	7.500000000000002	0.010285954663488967
1.0001	7.700000000000001	0.009304944927657901
1.0001	7.9	0.00841783763166315
1.0001	8.1	0.007615587287559542
1.0001	8.300000000000002	0.006889973352639225
1.0001	8.500000000000002	0.006233649020160333
1.0001	8.700000000000001	0.005639954231677325
1.0001	8.9	0.005102876096897196
1.0001	9.100000000000003	0.004617012006974661
1.0001	9.300000000000002	0.004177441788546172
1.0001	9.500000000000002	0.0037797677509805666
1.0001	9.700000000000001	0.003419967167291042
1.0001	9.9	0.0030944174485074256
1.0001	10.100000000000003	0.0027998961436761687
1.0002	-10.1	-0.002799756457908113
1.0002	-9.9	-0.003094263081843114
1.0002	-9.7	-0.0034197966288481243
1.0002	-9.5	-0.0037795793721716515
1.0002	-9.299999999999999	-0.004177247100789284
1.0002	-9.1	-0.004616783691712343
1.0002	-8.899999999999999	-0.005102639354717896
1.0002	-8.7	-0.0056396847124206605
1.0002	-8.5	-0.006233354993572365
1.0002	-8.299999999999999	-0.006889655254159532
1.0002	-8.1	-0.00761521590844057
1.0002	-7.8999999999999995	-0.008417454340179417
1.0002	-7.699999999999999	-0.009304504061291956
1.0002	-7.5	-0.010285481901630032
1.0002	-7.299999999999999	-0.011370474776024573
1.0002	-7.1	-0.012570679596764724
1.0002	-6.8999999999999995	-0.01389868941456783
1.0002	-6.699999999999999	-0.015368369050658862
1.0002	-6.5	-0.016995424547151455
1.0002	-6.299999999999999	-0.018797317949474354
1.0002	-6.1	-0.02079365851067227
1.0002	-5.8999999999999995	-0.023006790333499512
1.0002	-5.699999999999999	-0.025461539180288636
1.0002	-5.499999999999999	-0.028186668463123753
1.0002	-5.299999999999999	-0.031214482043947136
1.0002	-5.1	-0.034582127354696485
1.0002	-4.8999999999999995	-0.038332828391183224
1.0002	-4.699999999999999	-0.04251552642934919
1.0002	-4.499999999999999	-0.04718864753108707
1.0002	-4.299999999999999	-0.05241868786875587
1.0002	-4.1	-0.05828446664890575
1.0002	-3.8999999999999995	-0.06487787185087156
1.0002	-3.6999999999999993	-0.07230628758508166
1.0002	-3.499999999999999	-0.08069305994400436
1.0002	-3.299999999999999	-0.0901805136716425
1.0002	-3.0999999999999996	-0.10092919330572812
1.0002	-2.8999999999999995	-0.11309951419739579
